timestamp,latitude,longitude,temperature,feels_like,pressure,humidity,wind_speed,wind_direction,cloudiness,rainfall,visibility,weather_condition
2026-09-18 05:00:00,11.2722,77.6040,27.2,30.1,1013.2,82,3.1,210,60,0.0,9000,Clouds
2026-09-18 05:15:00,11.2722,77.6040,27.4,30.4,1013.4,81,3.2,215,65,0.0,9200,Clouds
2026-09-18 05:30:00,11.2722,77.6040,27.6,30.8,1013.5,80,3.4,220,70,0.0,9500,Clouds
2026-09-18 05:45:00,11.2722,77.6040,27.9,31.2,1013.6,79,3.6,225,72,0.0,10000,Clouds
2026-09-18 06:00:00,11.2722,77.6040,28.3,31.8,1013.8,78,3.8,230,75,0.0,10000,Clouds
2026-09-18 06:15:00,11.2722,77.6040,28.7,32.4,1013.9,76,4.0,232,78,0.0,10000,Clouds
2026-09-18 06:30:00,11.2722,77.6040,29.1,33.0,1014.0,75,4.1,235,80,0.0,10000,Clouds
2026-09-18 06:45:00,11.2722,77.6040,29.6,33.7,1013.9,74,4.2,238,82,0.0,10000,Clouds
2026-09-18 07:00:00,11.2722,77.6040,30.0,34.3,1014.1,73,4.3,240,85,0.0,10000,Clouds
2026-09-18 07:15:00,11.2722,77.6040,30.5,35.0,1013.8,72,4.5,242,85,0.0,10000,Clouds
2026-09-18 07:30:00,11.2722,77.6040,30.9,35.5,1013.7,71,4.4,244,80,0.0,10000,Clouds
2026-09-18 07:45:00,11.2722,77.6040,31.2,35.9,1013.6,70,4.6,245,78,0.0,10000,Clouds
2026-09-18 08:00:00,11.2722,77.6040,31.5,36.2,1013.5,69,4.7,248,80,0.0,10000,Clouds
2026-09-18 08:15:00,11.2722,77.6040,31.8,36.6,1013.7,68,4.8,250,85,0.0,10000,Clouds
2026-09-18 08:30:00,11.2722,77.6040,32.1,37.0,1013.8,67,5.0,252,85,0.0,10000,Clouds
2026-09-18 15:36:40,11.2722,77.6040,31.4,35.4,1013.9,69,3.6,212,85,0.0,10000,Clouds
2026-09-18 15:37:40,11.2722,77.6040,31.3,35.3,1014.0,68,3.8,202,86,0.0,10000,Clouds
2026-09-18 15:38:40,11.2722,77.6040,31.1,35.1,1013.9,69,3.5,228,88,0.0,10000,Clouds
2026-09-18 15:38:43,11.2722,77.6040,31.3,35.3,1013.8,69,3.9,212,88,0.0,10000,Clouds
2026-09-18 15:38:47,11.2722,77.6040,48.2,53.2,1013.8,69,3.9,212,88,0.0,10000,Extreme Heat
2026-09-18 15:42:14,11.2722,77.6040,31.0,35.0,1013.8,68,4.3,215,85,0.0,10000,Clouds
2026-09-18 15:43:14,11.2722,77.6040,30.8,34.8,1013.9,69,4.4,227,85,0.0,10000,Clouds
2026-09-18 15:44:14,11.2722,77.6040,31.1,35.1,1013.5,68,3.5,229,88,0.0,10000,Clouds
2026-09-18 15:45:14,11.2722,77.6040,31.3,35.3,1013.6,68,4.4,219,87,0.0,10000,Clouds
2026-09-18 15:46:14,11.2722,77.6040,30.7,34.7,1013.7,69,3.4,238,80,0.0,10000,Clouds
2026-09-18 15:47:14,11.2722,77.6040,30.9,34.9,1013.8,69,3.8,228,82,0.0,10000,Clouds
2026-09-18 15:48:14,11.2722,77.6040,31.1,35.1,1013.6,68,4.2,204,80,0.0,10000,Clouds
2026-09-18 15:49:14,11.2722,77.6040,31.2,35.2,1013.5,69,3.2,234,82,0.0,10000,Clouds
2026-09-18 15:50:14,11.2722,77.6040,31.1,35.1,1013.7,69,4.3,220,83,0.0,10000,Clouds
2026-09-18 15:51:00,11.2722,77.6040,30.7,34.7,1013.8,69,4.3,206,80,0.0,10000,Clouds
2026-09-18 16:01:00,11.2722,77.6040,30.6,34.6,1013.8,68,3.2,204,84,0.0,10000,Clouds
2026-09-18 16:03:51,11.2722,77.6040,31.3,35.3,1013.9,68,3.3,238,81,0.0,10000,Clouds
2026-09-18 16:03:56,11.2722,77.6040,30.5,34.5,1013.8,69,4.1,211,80,0.0,10000,Clouds
2026-09-18 16:04:13,11.2722,77.6040,31.2,35.2,1013.9,69,4.4,226,81,0.0,10000,Clouds
2026-09-18 16:14:13,11.2722,77.6040,30.1,34.3,1013.9,68,2.6,300,82,0.0,10000,Clouds
2026-09-18 16:15:10,11.2722,77.6040,30.1,34.3,1013.9,68,2.6,300,82,0.0,10000,Clouds
2026-09-18 16:17:43,11.2722,77.6040,30.1,34.3,1013.9,68,2.6,300,82,0.0,10000,Clouds
2026-09-18 16:21:36,11.2722,77.6040,30.1,34.3,1013.9,68,2.6,300,82,0.0,10000,Clouds
2026-09-18 16:21:47,11.2722,77.6040,30.1,34.3,1013.9,68,2.6,300,82,0.0,10000,Clouds
2026-09-18 16:31:47,11.2722,77.6040,30.0,34.5,1013.8,70,2.6,300,83,0.0,10000,Clouds
2026-09-18 16:33:25,11.2722,77.6040,30.0,34.5,1013.8,70,2.6,300,83,0.0,10000,Clouds
2026-09-19 04:23:32,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:23:59,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:25:45,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:27:40,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:30:56,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:31:15,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:32:30,11.2722,77.6040,30.4,35.5,1014.0,68,3.2,260,88,0.0,10000,Clouds
2026-09-19 04:41:15,11.2722,77.6040,31.5,35.8,1013.0,59,3.0,260,81,0.0,10000,Clouds
2026-09-19 04:51:15,11.2722,77.6040,31.7,36.2,1013.0,59,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:01:15,11.2722,77.6040,31.8,37.1,1014.0,62,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:11:15,11.2722,77.6040,31.8,37.1,1014.0,62,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:20:20,11.2722,77.6040,32.0,38.0,1014.0,63,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:21:15,11.2722,77.6040,32.0,38.0,1014.0,63,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:22:14,11.2722,77.6040,32.0,38.0,1014.0,63,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:22:16,11.2722,77.6040,32.0,38.0,1014.0,63,3.0,260,81,0.0,10000,Clouds
2026-09-19 05:31:15,11.2722,77.6040,32.9,37.6,1012.0,55,2.9,260,84,0.0,10000,Clouds
2026-09-19 05:41:15,11.2722,77.6040,32.9,37.6,1012.0,55,2.9,260,84,0.0,10000,Clouds
2026-09-19 05:51:15,11.2722,77.6040,32.9,37.9,1012.0,56,2.9,260,84,0.0,10000,Clouds
2026-09-19 05:51:42,11.2722,77.6040,32.9,37.9,1012.0,56,2.9,260,84,0.0,10000,Clouds
